timestamp,vDC,iDC,iA,iB,vA,vB,speed,regen_method,throttle,iqRef,iqFdb,temp_fet,power,error,SOC,vBMS,iBMS
8734,18934,405,4024,6974,689,486,33,1,95,5689,5689,30,38,0,99,4092,-2
8735,18934,406,4049,7057,591,378,33,1,95,5689,5692,31,38,0,99,4092,-2
8736,18934,406,4026,7037,685,485,32,1,95,5689,5691,30,38,0,99,4092,-2
8737,18934,405,4029,7000,598,380,33,1,95,5689,5688,31,38,0,99,4092,-2
8738,18934,405,4018,6975,679,485,33,1,95,5689,5688,31,38,0,99,4092,-2
8739,18934,406,4023,6999,604,381,33,1,95,5689,5690,31,38,0,99,4092,-2
8740,18934,406,4010,6950,672,481,33,1,95,5689,5686,31,37,0,99,4092,-2
8741,18934,405,4038,6966,611,387,33,1,95,5689,5686,31,37,0,99,4092,-2
8742,18934,407,4034,6954,671,481,33,1,95,5689,5686,31,38,0,99,4092,-2
8743,18934,405,4040,7004,611,387,33,1,95,5689,5690,31,38,0,99,4092,-2
8744,18934,403,4028,6969,673,482,33,1,95,5689,5689,31,38,0,99,4092,-2
8745,18934,404,4051,6974,609,385,33,1,95,5689,5687,31,37,0,99,4092,-2
8746,18933,405,4043,6924,684,489,33,1,95,5689,5686,31,37,0,99,4092,-2
8747,18934,405,4055,6932,597,380,34,1,95,5689,5689,31,38,0,99,4092,-2
8748,18933,405,4026,6906,689,488,34,1,95,5689,5687,30,37,0,99,4092,-2
8749,18933,406,4021,6892,592,382,34,1,95,5689,5687,31,37,0,99,4092,-2
8750,18933,407,4006,6885,690,485,34,1,95,5689,5688,30,38,0,99,4092,-2
8751,18934,405,4034,6989,592,387,33,1,95,5689,5692,31,38,0,99,4092,-3
8752,18933,407,4035,6971,688,480,33,1,95,5689,5689,31,38,0,99,4092,-3
8753,18933,405,4005,6971,597,394,33,1,95,5689,5687,31,37,0,99,4092,-3
8754,18933,407,3966,6910,684,475,34,1,95,5689,5688,31,37,0,99,4092,-3
8755,18933,405,3999,6980,617,422,34,1,95,5689,5689,31,38,0,99,4092,-3
8756,18933,405,4007,6993,665,451,34,1,95,5689,5688,31,38,0,99,4092,-3
8757,18933,404,4026,7048,638,447,34,1,95,5689,5686,31,38,0,99,4092,-3
8758,18933,406,4074,7086,645,424,34,1,95,5689,5686,31,37,0,99,4092,-3
8759,18933,406,4126,7065,668,481,35,1,95,5689,5684,31,37,0,99,4092,-3
8760,18933,404,4097,6976,612,390,35,1,95,5689,5691,31,38,0,99,4092,-3
8761,18933,405,4016,6816,692,490,35,1,95,5689,5688,31,38,0,99,4092,-3
8762,18933,405,3943,6833,603,402,35,1,95,5689,5689,31,38,0,99,4092,-3
8763,18932,406,3953,6972,676,465,35,1,95,5689,5689,31,38,0,99,4092,-3
8764,18933,405,4054,7134,647,459,35,1,95,5689,5685,31,37,0,99,4092,-3
8765,18932,404,4168,7085,631,410,35,1,95,5689,5683,31,37,0,99,4092,-3
8766,18932,405,4038,6771,690,491,36,1,95,5689,5688,31,38,0,99,4092,-3
8767,18933,403,3913,6835,609,410,36,1,95,5689,5687,31,38,0,99,4092,-3
8768,18932,406,4005,7158,666,453,36,1,95,5689,5685,31,37,0,99,4092,-3
8769,18932,403,4181,7089,680,488,36,1,95,5689,5685,31,37,0,99,4092,-3
8770,18932,405,3908,6706,613,409,37,1,95,5689,5688,31,37,0,99,4092,-3
8771,18932,405,4066,7248,665,454,37,1,95,5689,5684,31,37,0,99,4092,-3
8772,18931,405,4086,6766,689,491,38,1,95,5689,5690,31,38,0,99,4092,-3
8773,18932,405,3883,6984,631,441,37,1,95,5689,5687,31,37,0,99,4092,-3
